心思思,sam1-si1-si1,long for something,4,1
鬼主意,gwai2-zyu2-ji3,wicked idea,4,1
話畀,waa6-bei2,to tell,4,1
鬚,sou1,beard,4,1
遊樂場,jau4-lok6-coeng4,playground,4,1
大象,daai6-zoeng6,elephant,4,3
行路唔帶眼,haang4-lou6-m4-daai3-ngaan5,not look where one is going,4,1
狐狸,wu4-lei2,fox,4,2
慘,caam2,miserable,4,2
得意,dak1-ji3,interesting,4,1
新奇,san1-kei4,novel,4,1
(偉偉),Wai5-wai5,Wai Wai,4,1
動物園,dung6-mat6-jyun4,zoo,4,1
No,no,no,4,1
車車,ce1-ce1,car,4,1
返工,faan1-gung1,go to work,4,4
阿婆,aa3-po4,grandma,4,1
朝頭早,ziu1-tau4-zou2,in the morning,4,1
樓下,lau4-haa6,downstairs,4,1
金色,gam1-sik1,golden,4,1
點知道,dim2-zi1-dou3,unexpectedly,4,1
司機,si1-gei1,driver,4,2
淺藍色,cin2-laam4-sik1,light blue,4,1
銀色,ngan4-sik1,silver,4,1
烏龜,wu1-gwai1,turtle,4,1
粉紅色,fan2-hung4-sik1,pink,4,3
各位,gok3-wai2,everybody,4,1
大海,daai6-hoi2,ocean,4,2
屋仔,uk1-zai2,small house,4,1
消失,siu1-sat1,disappear,4,1
中間,zung1-gaan1,within,4,1
食嘢,sik6-je5,eat,4,1
外面,ngoi6-min6,outside,4,2
糖糖,tong2-tong2,candy,4,1
包包,baau1baau1,bread,4,1
菜菜,coi3-coi3,vegetables,4,1
粉紅,fan2-hung4,pink,4,1
汽水,hei3-seoi2,soft drink,4,1
飽,baau2,full,4,1
滑梯,waat6-tai1,slide,4,1
滑,waat6,slide,4,1
一直,jat1-zik6,keep,4,4
夢,mung6,dream,4,1
高一高,gou1-jat1-gou1,very high,4,1
舞,mou5,dance,4,1
停低,ting4-dai1,stop,4,2
飛沙,fei1-saa1,no sugar,4,1
紅衫魚,hung4-saam1-jyu2,golden threadfin bream fish,4,1
覺覺豬,gaau4-gaau1-zyu1,sleep,4,1
一陣間,jat1-zan6-gaan1,in a while,4,1
成身,sing4-san1,the whole body,4,2
靚靚,leng3-leng3,pretty,4,1
花朵,faa1-do2,flower,4,1
青,ceng1,blue-green,4,3
毛蟲,mou4-cung4,caterpillar,4,1
遮,ze1,cover,4,1
唔住,m4-zyu6,cannot,4,1
毛,mou4,fur,4,1
唔曳,m4-jai5,not bad,4,1
密實,mat6-sat6,conservative,4,1
一身,jat1-san1,the whole body,4,1
仔細,zi2-sai3,careful,4,1
山羊,saan1-joeng4,goat,4,1
河,ho4,river,4,3
圈,hyun1,circle,4,1
淺,cin2,shallow,4,1
鱷魚,ngok6-jyu4,crocodile,4,1
慢,maan6,slow,4,1
執輸,zap1-syu1,lose out,4,1
阿蛇,aa3-se4,snake,4,1
舔舔脷,lem2-lem2-lei6,licking tongue,4,1
污糟,wu1-zou1,dirty,4,2
曬太陽,saai3-taai3-joeng4,sunbathe,4,1
背後,bui3-hau6,behind,4,2
話你知,waa6-nei5-zi1,let you know,4,1
雪糕,syut3-gou1,ice cream,4,2
慢慢行,maan6-maan2-hang4,walk slowly,4,1
感覺,gam2-gok3,feeling,4,1
好正,hou2-zeng3,very nice,4,1
勤力,kan4-lik6,diligent,4,2
棵,po1,(measure),4,2
畀佢,bei2-keoi5,let it ,4,1
枯乾,fu1-gon1,dried up,4,1
大風,daai6-fung1,heavy wind,4,1
直,zik6,straight,4,1
爭啲,zang1-di1,nearly,4,1
撳實,gam6-sat6,press,4,1
黑蚊蚊,hak1-mang1-mang1,dark,4,1
震,zan3,shake,4,1
凍親,dung3-can1,catch a cold,4,1
行雷閃電,haang4-leoi4-sim2-din6,thunder and lightning,4,1
雷,leoi4,thunder,4,1
好嘈,hou2-cou4,very noisy,4,2
搞到,gaau2-dou3,cause,4,3
辛苦,san1-fu2,unbearable,4,3
史,si2,Si,4,1
好叻,hou2-lek1,good at,4,2
小食,siu2-sik6,snack,4,1
個樣,go3-joeng2,the look,4,1
好得人驚,hou2-dak1-jan4-ging1,look horrify,4,1
面,min6,face,4,6
一嬲,jat1-nau1,angry,4,1
走晒,zau2-saai3,gone,4,1
老婆,lou5-po4,wife,4,5
怕咗佢,paa3-zo2-keoi5,scared of him,4,1
雞飛狗走,gai1-fei1-gau2-zau2,chicken fly dog run,4,1
小小,siu2-siu2,little,4,2
種得,zung2-dak1,plant,4,1
唔 好,m4-hou2,not good,4,1
剪得,zin2-dak1,cut,4,1
好好食,hou2-hou2-sik6,tasty,4,1
馬騮,maa5-lau1,monkey,4,4
跳過,tiu3-gwo3,jump over,4,1
嘞,laak3,(particle),4,2
好嬲,hou2-nau1,so angry,4,1
皮,pei4,skin,4,1
掉,diu6,to fall,4,2
落地,lok6-dei6,down the ground,4,3
踩到,caai2-dou2,step over,4,1
皮，,pei4,skins,4,1
跌低,dit3-dai1,fall down,4,1
一次,jat1-ci3,one time,4,1
佢嘅,keoi5-ge3,his,4,1
走咗,zau2-zo2,gone,4,1
手手,sau2-sau2,hands ,4,1
腳腳,goek3-goek3,feet,4,1
好好笑,hou2-hou2-siu3,so funny,4,1
嘻嘻,hi1-hi1,hehe,4,1
呵呵,ho1-ho1,hoho,4,1
哈哈哈哈,haa1-haa1-haa1-haa1,hahahaha,4,1
眼水,ngaan5-seoi2,tears,4,1
笑得,siu3-dak1,laugh,4,1
聽過,teng1-gwo3,hear,4,1
哈哈哈,haa1-haa1-haa1,hahaha,4,1
妮妮,Nei4-Nei4,Nini,4,1
主題樂園,zyu2-tai4-lok6-jyun4,theme park,4,1
陽光,joeng4-gwong1,sunshine,4,1
遊船河,jau4-syun4-ho2,cruise,4,1
摩天輪,mo1-tin1-leon4,ferris wheel,4,1
刺激,ci3-gik1,exciting,4,1
劇場,kek6-coeng4,theatre,4,1
心愛,sam1-oi3,favourite,4,1
公主,gung1-zyu2,princess,4,1
嗚,wu1,Uu...,4,1
不停,bat1-ting4,nonstop,4,3
射,se6,shoot,4,1
水槍,seoi2-coeng1,water gun,4,1
表演,biu2-jin2,performance,4,3
到咗,dou3-zo2,arrived,4,1
煙花,jin1-faa1,fireworks,4,1
圖案,tou4-on3,design,4,1
一朵朵,jat1-do2-do2,stems of,4,1
睇睇下,tai2-tai2-haa5,watched and watched,4,1
抬,toi4,raise,4,1
一望,jat1-mong6,to take a look,4,1
爆谷,baau3-guk1,popcorn,4,1
燦爛,caan3-laan6,magnificent,4,1
為,wai6,for,4,3
幼稚園,jau3-zi6-jyun2,kindergarten,4,14
開學,hoi1-hok6,back to school,4,3
文具舖,man4-geoi6-pou2,stationery store,4,1
媽,maa1,mom,4,14
睇吓,tai2-haa5,look around,4,2
貼,tip3,stick,4,1
畀你,bei2-nei5,for you,4,1
學識,hok6-sik1,learn,4,1
文具,man4-geoi6,stationery,4,1
好冇,hou2-mou2,is it ok?,4,1
擦,caat3,wipe,4,1
㗎嘛,gaa1-maa3,(particle),4,1
碎,seoi3,dust,4,1
揸,zaa1,hold,4,6
蓋,goi3,cap,4,1
圓形,jyun4-jing4,circle,4,1
三角形,saam1-gok3-jing4,triangle,4,1
冇咁,mou5-gam3,not so,4,2
原子筆,jyun4-zi2-bat1,pen,4,1
筆袋,bat1-doi2,pencil case,4,1
㗎啦,gaa3-laa1,(particle),4,1
水壺,seoi2-wu2,bottle,4,1
毛巾,mou4-gan1,towel,4,2
奀皮,an1-pei4,naughty,4,1
爸,baa1,dad,4,7
十日,sap6-jat6,ten days,4,1
呢條,nei1-tiu4,this,4,1
認,jing6,remember,4,1
去過,heoi3-gwo3,went,4,1
面試,min6-si5,interview,4,1
一班,jat1-baan1,a group of,4,1
學習,hok6-zaap6,learn,4,3
重要,zung6-jiu3,important,4,1
技能,gei6-nang4,skill,4,1
越多,jyut6-do1,more,4,1
第日,dai6-jat6,in the future,4,1
操作,cou1-zok3,control,4,1
交通,gaau1-tung1,traffic,4,1
規則,kwai1-zak1,rule,4,1
路線,lou6-sin3,route,4,1
乘客,sing4-haak3,passenger,4,1
碎銀,seoi3-ngan2,coins,4,1
又要,jau6-jiu3,also need,4,1
計數,gai3-sou3,calculate,4,1
投訴,tau4-sou3,complaint,4,1
溝通,kau1-tung1,communicate,4,1
怕,paa3,to fear,4,1
就算,zau6-syun3,even if,4,2
成長,sing4-zoeng2,grow up,4,1
學到,hok6-dou3,learnt,4,3
咁上下,gam3-soeng6-haa2,approximately,4,1
興趣,hing3-ceoi3,interest,4,1
變成,bin3-sing4,become,4,3
個月,go3-jyut6,month,4,2
基本,gei1-bun2,basic,4,1
再講,zoi3-gong2,say again,4,1
茶點,caa4-dim2,afternoon tea,4,1
跟,gan1,follow,4,3
唔使驚,m4-sai2-geng1,don't be afraid,4,1
陪住,pui4-zyu6,accompany,4,1
睇實,tai2-sat6,take care,4,1
或者,waak6-ze2,or,4,5
需要,seoi1-jiu3,in need,4,3
鼓勵,gu2-lai6,encourage,4,1
每日,mui5-jat6,every day,4,2
安排,on1-paai4,arrange,4,1
活動,wut6-dung6,activities,4,1
例如,lai6-jyu4,for example,4,3
故仔,gu2-zai2,story,4,1
玩遊戲,waan2-jau4-hei3,play games,4,1
